513.18 4071.18  16 086A
590.15 4024.85  -8 087A
561.79 4062.77   8 DATC
523.79 4136.19   2 DIDI
620.29 4119.51   6 MUG1
547.66 4094.05   7 YALI(*)
522.82 4095.39   1 TGRT(*)
530.98 4100.24  15 ORTA(*)
528.74 4107.08   3 TRKB(*)
497.66 4178.91   0 SAM0
435.86 4162.28   0 IKAR
496.59 4090.70   0 KALY
607.18 4029.23   0 ROD0
442.12 4044.61   2 ASTY
497.88 4089.97  11 KALY
510.91 3926.34   5 KRP1
474.06 4182.86   6 SAM0
554.98 4110.44   4 MUMC(*)
585.92 4070.08   6 MARM(*)
650.10 4093.85  10 KYCZ(*)
535.19 4059.69  -2 KNID(*)
574.18 4117.00  28 CAMK(*)
535.67 4097.06 119 BODR(*)
689.90 4055.51  -5 FETH(*)
445.14 4239.71  -6 CESM(*)
583.18 3986.66   6 ROD2(*)
507.14 4249.62  -2 IZMI(*)
573.72 4188.47  -7 AYD1(*)
542.33  4090.53  -168 (asc)  
542.67  4090.53  -168  
541.82  4090.84  -140  
542.08  4090.90  -140  
542.52  4090.86  -140  
542.95  4090.79  -140  
543.18  4090.90  -140  
543.40  4090.92  -140  
541.64  4091.21  -112  
541.87  4091.40  -112  
542.07  4091.61  -112  
542.35  4091.64  -112  
542.76  4091.47  -112  
543.02  4091.51  -112  
543.32  4091.47  -112  
543.66  4091.33  -112  
540.27  4091.62  -84  
540.72  4091.69  -84  
541.20  4091.80  -84  
541.60  4091.93  -84  
541.94  4092.04  -84  
542.44  4092.01  -84  
542.93  4091.96  -84  
543.38  4091.81  -84  
543.77  4091.59  -84  
539.75  4092.39  -56  
540.13  4092.45  -56  
540.48  4092.49  -56  
540.94  4092.49  -56  
541.52  4092.49  -56  
542.17  4092.38  -56  
542.75  4092.30  -56  
543.25  4092.28  -56  
539.40  4092.91  -28  
539.39  4093.12  -28  
539.51  4093.27  -28  
539.74  4093.26  -28  
540.09  4093.18  -28  
540.43  4093.03  -28  
540.81  4092.92  -28  
541.10  4093.02  -28  
544.70  4093.35  -28  
545.28  4093.41  -28  
538.78  4093.52  0  
538.92  4093.69  0  
539.09  4093.87  0  
539.49  4093.94  0  
542.94  4094.16  0  
543.30  4094.24  0  
543.69  4094.33  0  
544.17  4094.53  0  
545.06  4094.55  0  
545.95  4094.79  0  
546.55  4095.16  0  
546.76  4095.61  0  
546.94  4096.05  0  
546.82  4096.39  0  
546.75  4096.55  0  
546.52  4097.10  0  
537.83  4094.18  28  
537.98  4094.38  28  
538.17  4094.55  28  
540.73  4096.15  28  
541.92  4097.22  28  
542.28  4097.80  28  
542.36  4099.05  28  
542.06  4099.67  28  
531.54  4079.50  0 (asc Kos)  
531.37  4080.57  0  
530.55  4081.61  0  
529.51  4082.04  0  
528.15  4082.19  0  
527.19  4082.45  0  
526.73  4082.92  0  
525.97  4083.26  0  
542.38  4090.42  -168 (desc) 
542.60  4090.50  -168  
542.04  4090.79  -140  
542.22  4090.82  -140  
542.55  4090.84  -140  
542.85  4090.92  -140  
542.97  4091.09  -140  
543.11  4091.28  -140  
543.43  4091.26  -140  
543.70  4091.18  -140  
541.61  4091.08  -112  
541.81  4091.29  -112  
542.01  4091.49  -112  
542.17  4091.61  -112  
542.39  4091.60  -112  
542.61  4091.58  -112  
542.81  4091.55  -112  
543.05  4091.59  -112  
543.33  4091.60  -112  
543.60  4091.57  -112  
543.87  4091.47  -112  
540.70  4091.08  -84  
540.87  4091.20  -84  
540.91  4091.33  -84  
540.95  4091.49  -84  
541.21  4091.70  -84  
541.56  4091.83  -84  
541.76  4091.96  -84  
542.25  4091.97  -84  
542.71  4092.00  -84  
542.94  4091.99  -84  
543.24  4091.94  -84  
543.58  4091.80  -84  
539.70  4091.65  -56  
540.05  4091.85  -56  
540.14  4092.23  -56  
540.33  4092.45  -56  
540.77  4092.46  -56  
541.06  4092.41  -56  
541.37  4092.39  -56  
541.75  4092.36  -56  
542.10  4092.33  -56  
542.51  4092.34  -56  
542.99  4092.33  -56  
537.82  4093.92  0  
537.86  4094.22  0  
538.07  4094.53  0  
541.66  4094.74  0  
541.77  4094.96  0  
542.32  4094.86  0  
542.92  4095.00  0  
543.48  4095.10  0  
543.84  4095.24  0  
544.28  4095.15  0  
544.70  4094.88  0  
545.22  4094.63  0  
545.80  4094.41  0  
546.24  4094.32  0  
546.43  4094.60  0  
546.62  4095.00  0  
547.07  4095.11  0  
547.54  4094.67  0  
548.16  4094.66  0  
548.76  4094.86  0  
549.32  4094.97  0  
549.78  4094.96  0  
550.52  4094.53  0  
550.91  4094.24  0  
539.56  4092.82  -28  
539.53  4093.11  -28  
539.63  4093.28  -28  
540.06  4093.24  -28  
540.50  4093.08  -28  
541.01  4093.06  -28  
543.10  4093.50  -28  
543.40  4093.64  -28  
544.34  4093.50  -28  
544.85  4093.48  -28  
545.11  4093.48  -28  
545.31  4093.46  -28  
548.58  4093.72  -28  
549.32  4093.95  -28  
550.35  4093.47  -28  
551.01  4093.22  -28  
552.41  4092.45  -28  
553.15  4092.07  -28
531.54  4079.50  0 (desc Kos)
531.37  4080.57  0
530.55  4081.61  0
529.51  4082.04  0
528.15  4082.19  0
527.19  4082.45  0
526.73  4082.92  0
525.97  4083.26  0
